x,y,light_intensity,timestamp 
0,0,822,1.52464e+09
0.112,0,825,1.52464e+09
0.24,0,819,1.52464e+09
0.367,0,815,1.52464e+09
0.52,0,813,1.52464e+09
0.638,0,809,1.52464e+09
0.767,0,804,1.52464e+09
0.909,0,799,1.52464e+09
1.059,0,790,1.52464e+09
1.208,0,782,1.52464e+09
1.358,0.001,776,1.52464e+09
1.508,0.001,769,1.52464e+09
1.657,0.001,764,1.52464e+09
1.796,0.001,762,1.52464e+09
1.922,0.001,761,1.52464e+09
2.037,0.001,759,1.52464e+09
2.139,0.001,759,1.52464e+09
2.271,0.001,759,1.52464e+09
2.376,0.001,759,1.52464e+09
2.491,0.001,760,1.52464e+09
2.588,-0.035,824,1.52464e+09
2.658,-0.122,835,1.52464e+09
2.708,-0.226,843,1.52464e+09
2.749,-0.362,852,1.52464e+09
2.77,-0.469,858,1.52464e+09
2.785,-0.59,861,1.52464e+09
2.792,-0.72,865,1.52464e+09
2.791,-0.839,869,1.52464e+09
2.785,-0.948,865,1.52464e+09
2.766,-1.086,867,1.52464e+09
2.74,-1.196,865,1.52464e+09
2.706,-1.299,862,1.52464e+09
2.658,-1.391,859,1.52464e+09
2.586,-1.473,852,1.52464e+09
2.477,-1.537,848,1.52464e+09
2.372,-1.576,846,1.52464e+09
2.239,-1.611,841,1.52464e+09
2.133,-1.632,835,1.52464e+09
2.016,-1.649,833,1.52464e+09
1.885,-1.663,831,1.52464e+09
1.743,-1.674,824,1.52464e+09
1.593,-1.682,818,1.52464e+09
1.444,-1.685,809,1.52464e+09
1.294,-1.685,799,1.52464e+09
1.144,-1.682,788,1.52464e+09
0.994,-1.675,781,1.52464e+09
0.845,-1.666,773,1.52464e+09
0.705,-1.655,767,1.52464e+09
0.579,-1.642,764,1.52464e+09
0.464,-1.629,763,1.52464e+09
0.361,-1.615,768,1.52464e+09
0.229,-1.594,770,1.52464e+09
0.125,-1.573,776,1.52464e+09
0.02,-1.545,776,1.52464e+09
-0.074,-1.505,772,1.52464e+09
-0.173,-1.429,764,1.52464e+09
-0.265,-1.309,752,1.52464e+09
-0.318,-1.206,747,1.52464e+09
-0.362,-1.086,722,1.52464e+09
-0.394,-0.955,710,1.52464e+09
-0.412,-0.83,700,1.52464e+09
-0.417,-0.713,699,1.52464e+09
-0.413,-0.607,701,1.52464e+09
-0.392,-0.469,702,1.52464e+09
-0.361,-0.356,697,1.52464e+09
-0.312,-0.239,689,1.52464e+09
-0.248,-0.137,671,1.52464e+09
-0.179,-0.062,673,1.52464e+09
-0.089,-0.004,712,1.52464e+09
0.032,0.023,722,1.52464e+09
0.142,0.019,744,1.52464e+09
0.277,-0.005,765,1.52464e+09
0.38,-0.033,779,1.52464e+09
0.491,-0.071,795,1.52464e+09
0.612,-0.119,804,1.52464e+09
0.742,-0.176,809,1.52464e+09
0.877,-0.242,812,1.52464e+09
1.01,-0.312,816,1.52464e+09
1.14,-0.386,819,1.52464e+09
1.268,-0.462,823,1.52464e+09
1.396,-0.543,828,1.52464e+09
1.52,-0.625,831,1.52464e+09
1.643,-0.711,836,1.52464e+09
1.764,-0.798,840,1.52464e+09
1.884,-0.888,843,1.52464e+09
1.994,-0.974,843,1.52464e+09
2.093,-1.054,846,1.52464e+09
2.182,-1.128,846,1.52464e+09
2.26,-1.196,846,1.52464e+09
2.358,-1.287,845,1.52464e+09
2.434,-1.362,847,1.52464e+09
2.511,-1.451,848,1.52464e+09
2.409,-1.386,846,1.52464e+09
2.32,-1.326,845,1.52464e+09
2.208,-1.254,844,1.52464e+09
2.119,-1.199,842,1.52464e+09
2.019,-1.139,842,1.52464e+09
1.91,-1.074,840,1.52464e+09
1.789,-1.003,838,1.52464e+09
1.659,-0.929,836,1.52464e+09
1.529,-0.855,834,1.52464e+09
1.399,-0.781,833,1.52464e+09
1.268,-0.707,833,1.52464e+09
1.137,-0.635,831,1.52464e+09
1.006,-0.562,831,1.52464e+09
0.875,-0.491,830,1.52464e+09
0.744,-0.419,831,1.52464e+09
0.622,-0.352,830,1.52464e+09
0.51,-0.291,826,1.52464e+09
0.409,-0.236,820,1.52464e+09
0.319,-0.187,808,1.52464e+09
0.202,-0.123,791,1.52464e+09
0.11,-0.072,785,1.52464e+09
0.008,-0.015,804,1.52464e+09
