x,y,light_intensity,timestamp 
0,0,859,1.52465e+09
0.112,0,869,1.52465e+09
0.24,0,867,1.52465e+09
0.367,0,867,1.52465e+09
0.467,0,865,1.52465e+09
0.578,0,861,1.52465e+09
0.701,0,860,1.52465e+09
0.836,0,842,1.52465e+09
0.983,0,835,1.52465e+09
1.133,0,819,1.52465e+09
1.283,0,842,1.52465e+09
1.433,0.001,873,1.52465e+09
1.583,0.001,870,1.52465e+09
1.732,0.001,879,1.52465e+09
1.871,0.001,875,1.52465e+09
1.998,0.001,875,1.52465e+09
2.113,0.001,878,1.52465e+09
2.217,0.001,883,1.52465e+09
2.349,0.002,860,1.52465e+09
2.455,0.002,863,1.52465e+09
2.572,-0.001,854,1.52465e+09
2.666,-0.059,737,1.52465e+09
2.723,-0.161,645,1.52465e+09
2.761,-0.274,835,1.52465e+09
2.788,-0.417,879,1.52465e+09
2.799,-0.528,898,1.52465e+09
2.804,-0.652,910,1.52465e+09
2.801,-0.784,920,1.52465e+09
2.792,-0.907,928,1.52465e+09
2.777,-1.017,932,1.52465e+09
2.75,-1.159,937,1.52465e+09
2.717,-1.272,941,1.52465e+09
2.674,-1.378,946,1.52465e+09
2.615,-1.467,949,1.52465e+09
2.53,-1.524,949,1.52465e+09
2.41,-1.57,950,1.52465e+09
2.287,-1.602,951,1.52465e+09
2.136,-1.629,951,1.52465e+09
2.019,-1.644,951,1.52465e+09
1.89,-1.656,952,1.52465e+09
1.749,-1.665,950,1.52465e+09
1.599,-1.671,948,1.52465e+09
1.449,-1.674,946,1.52465e+09
1.299,-1.673,943,1.52465e+09
1.15,-1.669,939,1.52465e+09
1,-1.662,933,1.52465e+09
0.85,-1.653,925,1.52465e+09
0.705,-1.642,917,1.52465e+09
0.573,-1.629,907,1.52465e+09
0.452,-1.616,897,1.52465e+09
0.343,-1.601,886,1.52465e+09
0.203,-1.58,874,1.52465e+09
0.09,-1.558,865,1.52465e+09
-0.025,-1.528,854,1.52465e+09
-0.135,-1.472,829,1.52465e+09
-0.218,-1.386,803,1.52465e+09
-0.292,-1.26,782,1.52465e+09
-0.333,-1.156,770,1.52465e+09
-0.365,-1.036,757,1.52465e+09
-0.387,-0.902,701,1.52465e+09
-0.397,-0.771,639,1.52465e+09
-0.396,-0.65,588,1.52465e+09
-0.386,-0.541,499,1.52465e+09
-0.36,-0.403,454,1.52465e+09
-0.326,-0.294,440,1.52465e+09
-0.276,-0.187,424,1.52465e+09
-0.215,-0.098,384,1.52465e+09
-0.142,-0.029,366,1.52465e+09
-0.043,0.015,373,1.52465e+09
0.074,0.021,376,1.52465e+09
0.192,0.006,394,1.52465e+09
0.333,-0.03,403,1.52465e+09
0.44,-0.065,409,1.52465e+09
0.555,-0.11,415,1.52465e+09
0.68,-0.164,416,1.52465e+09
0.812,-0.228,417,1.52465e+09
0.945,-0.297,407,1.52465e+09
1.076,-0.37,393,1.52465e+09
1.205,-0.446,394,1.52465e+09
1.333,-0.525,408,1.52465e+09
1.458,-0.607,426,1.52465e+09
1.582,-0.69,444,1.52465e+09
1.705,-0.776,482,1.52465e+09
1.826,-0.865,587,1.52465e+09
1.945,-0.954,705,1.52465e+09
2.055,-1.04,777,1.52465e+09
2.153,-1.12,824,1.52465e+09
2.242,-1.194,851,1.52465e+09
2.32,-1.262,874,1.52465e+09
2.417,-1.352,897,1.52465e+09
2.492,-1.427,918,1.52465e+09
2.568,-1.516,927,1.52465e+09
2.463,-1.452,828,1.52465e+09
2.372,-1.394,789,1.52465e+09
2.258,-1.323,716,1.52465e+09
2.169,-1.269,687,1.52465e+09
2.069,-1.209,611,1.52465e+09
1.958,-1.143,568,1.52465e+09
1.838,-1.072,508,1.52465e+09
1.709,-0.997,484,1.52465e+09
1.579,-0.922,471,1.52465e+09
1.449,-0.847,457,1.52465e+09
1.319,-0.773,446,1.52465e+09
1.189,-0.698,438,1.52465e+09
1.059,-0.624,425,1.52465e+09
0.929,-0.549,411,1.52465e+09
0.799,-0.475,403,1.52465e+09
0.669,-0.401,404,1.52465e+09
0.548,-0.331,404,1.52465e+09
0.438,-0.269,408,1.52465e+09
0.338,-0.211,410,1.52465e+09
0.248,-0.16,416,1.52465e+09
0.133,-0.093,421,1.52465e+09
0.042,-0.039,420,1.52465e+09
-0.044,0.014,420,1.52465e+09
0.047,-0.038,417,1.52465e+09
0.14,-0.092,419,1.52465e+09
0.256,-0.16,420,1.52465e+09
0.346,-0.213,420,1.52465e+09
0.447,-0.271,420,1.52465e+09
0.558,-0.336,422,1.52465e+09
0.679,-0.406,424,1.52465e+09
0.808,-0.481,436,1.52465e+09
0.938,-0.557,435,1.52465e+09
1.067,-0.632,429,1.52465e+09
1.197,-0.708,433,1.52465e+09
1.326,-0.783,434,1.52465e+09
1.455,-0.858,449,1.52465e+09
1.585,-0.934,467,1.52465e+09
1.714,-1.009,489,1.52465e+09
1.843,-1.084,535,1.52465e+09
1.963,-1.155,592,1.52465e+09
2.072,-1.22,642,1.52465e+09
2.171,-1.279,712,1.52465e+09
2.259,-1.332,744,1.52465e+09
2.372,-1.401,804,1.52465e+09
2.462,-1.458,839,1.52465e+09
2.56,-1.522,849,1.52465e+09
2.452,-1.459,799,1.52465e+09
2.359,-1.405,769,1.52465e+09
2.242,-1.337,723,1.52465e+09
2.151,-1.284,693,1.52465e+09
2.05,-1.226,638,1.52465e+09
1.939,-1.161,599,1.52465e+09
1.818,-1.09,542,1.52465e+09
1.689,-1.015,504,1.52465e+09
1.56,-0.939,475,1.52465e+09
1.43,-0.864,457,1.52465e+09
1.301,-0.788,442,1.52465e+09
1.171,-0.713,432,1.52465e+09
1.042,-0.637,421,1.52465e+09
0.913,-0.562,415,1.52465e+09
0.783,-0.486,414,1.52465e+09
0.654,-0.411,417,1.52465e+09
0.534,-0.341,420,1.52465e+09
0.425,-0.276,420,1.52465e+09
0.326,-0.217,421,1.52465e+09
0.238,-0.164,422,1.52465e+09
0.125,-0.095,419,1.52465e+09
0.035,-0.039,414,1.52465e+09
-0.063,0.024,405,1.52465e+09
0.044,-0.038,410,1.52465e+09
0.138,-0.092,408,1.52465e+09
0.254,-0.16,405,1.52465e+09
0.345,-0.213,405,1.52465e+09
0.446,-0.272,406,1.52465e+09
0.557,-0.336,406,1.52465e+09
0.678,-0.407,404,1.52465e+09
0.808,-0.482,406,1.52465e+09
0.937,-0.558,412,1.52465e+09
1.067,-0.633,424,1.52465e+09
1.196,-0.709,439,1.52465e+09
1.325,-0.784,451,1.52465e+09
1.455,-0.859,464,1.52465e+09
1.584,-0.935,477,1.52465e+09
1.714,-1.01,502,1.52465e+09
1.842,-1.085,555,1.52465e+09
1.962,-1.155,612,1.52465e+09
2.071,-1.22,671,1.52465e+09
2.17,-1.279,724,1.52465e+09
2.258,-1.332,764,1.52465e+09
2.37,-1.4,817,1.52465e+09
2.46,-1.457,850,1.52465e+09
2.557,-1.52,860,1.52465e+09
2.448,-1.456,814,1.52465e+09
2.354,-1.402,784,1.52465e+09
2.237,-1.334,740,1.52465e+09
2.146,-1.281,695,1.52465e+09
2.045,-1.222,661,1.52465e+09
1.933,-1.157,625,1.52465e+09
1.812,-1.086,569,1.52465e+09
1.683,-1.011,514,1.52465e+09
1.553,-0.935,490,1.52465e+09
1.423,-0.86,479,1.52465e+09
1.294,-0.784,468,1.52465e+09
1.165,-0.709,462,1.52465e+09
1.035,-0.634,449,1.52465e+09
0.906,-0.558,432,1.52465e+09
0.776,-0.483,411,1.52465e+09
0.648,-0.408,388,1.52465e+09
0.529,-0.338,373,1.52465e+09
0.42,-0.274,383,1.52465e+09
0.321,-0.215,392,1.52465e+09
0.233,-0.162,390,1.52465e+09
0.12,-0.093,389,1.52465e+09
0.031,-0.037,401,1.52465e+09
-0.065,0.026,413,1.52465e+09
